date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2020-03-18 15:00:00,117.465,117.472,117.686,117.366,117.49,117.499,117.713,117.388,74298
2020-03-18 16:00:00,117.472,117.151,117.635,116.994,117.499,117.18,117.661,117.026,72756
2020-03-18 17:00:00,117.151,117.635,117.841,116.887,117.18,117.665,117.871,116.915,80040
2020-03-18 18:00:00,117.635,117.384,117.72,117.269,117.665,117.416,117.756,117.296,64037
2020-03-18 19:00:00,117.384,117.833,117.846,117.283,117.416,117.875,117.881,117.317,110751
2020-03-18 20:00:00,117.833,117.95,117.994,117.746,117.875,118.04,118.04,117.799,14343
2020-03-18 21:00:00,117.95,117.76,117.908,117.741,118.04,117.862,118.0,117.834,43
2020-03-18 22:00:00,117.76,118.09,118.176,117.837,117.862,118.121,118.224,117.871,37401
2020-03-18 23:00:00,118.09,118.591,118.903,118.088,118.121,118.639,118.938,118.121,65976
2020-03-19 00:00:00,118.591,118.599,118.812,118.25,118.639,118.62,118.838,118.271,61577
2020-03-19 01:00:00,118.599,118.654,118.834,118.431,118.62,118.681,118.859,118.454,58375
2020-03-19 02:00:00,118.654,118.675,119.293,118.61,118.681,118.709,119.329,118.651,58143
2020-03-19 03:00:00,118.675,119.082,119.213,118.672,118.709,119.105,119.238,118.701,53189
2020-03-19 04:00:00,119.082,118.841,119.316,118.736,119.105,118.869,119.341,118.763,57110
2020-03-19 05:00:00,118.841,118.64,118.851,118.579,118.869,118.666,118.888,118.606,69298
2020-03-19 06:00:00,118.64,118.631,118.971,118.565,118.666,118.655,118.996,118.596,63105
2020-03-19 07:00:00,118.631,118.406,119.069,118.319,118.655,118.441,119.094,118.353,115629
2020-03-19 08:00:00,118.406,118.039,118.782,118.028,118.441,118.06,118.808,118.053,83950
2020-03-19 09:00:00,118.039,118.133,118.432,117.867,118.06,118.168,118.467,117.921,59546
2020-03-19 10:00:00,118.133,118.044,118.153,117.911,118.168,118.075,118.184,117.943,65650
2020-03-19 11:00:00,118.044,118.134,118.314,117.894,118.075,118.167,118.341,117.918,62081
2020-03-19 12:00:00,118.134,118.54,118.766,117.888,118.167,118.551,118.807,117.913,103589
2020-03-19 13:00:00,118.54,118.819,118.881,118.339,118.551,118.855,118.914,118.376,104617
2020-03-19 14:00:00,118.819,118.48,119.018,118.333,118.855,118.502,119.043,118.356,80938
2020-03-19 15:00:00,118.48,117.782,118.586,117.735,118.502,117.805,118.611,117.759,67445
2020-03-19 16:00:00,117.782,117.504,118.003,117.477,117.805,117.527,118.03,117.505,83337
2020-03-19 17:00:00,117.504,117.92,117.969,117.398,117.527,117.942,117.998,117.421,83513
2020-03-19 18:00:00,117.92,118.069,118.153,117.754,117.942,118.096,118.179,117.776,87614
2020-03-19 19:00:00,118.069,118.256,118.553,118.045,118.096,118.278,118.583,118.069,94387
2020-03-19 20:00:00,118.256,118.334,118.399,118.058,118.278,118.423,118.44,118.079,16718
2020-03-19 21:00:00,118.334,118.283,118.353,118.023,118.423,118.344,118.437,118.104,1149
2020-03-19 22:00:00,118.283,118.213,118.281,117.974,118.344,118.256,118.346,118.036,49099
2020-03-19 23:00:00,118.213,118.591,118.744,118.165,118.256,118.614,118.771,118.201,43804
2020-03-20 00:00:00,118.591,118.517,118.727,118.311,118.614,118.541,118.753,118.334,46198
2020-03-20 01:00:00,118.517,118.394,118.668,118.244,118.541,118.432,118.694,118.277,59363
2020-03-20 02:00:00,118.394,118.257,118.528,118.166,118.432,118.295,118.56,118.2,61937
2020-03-20 03:00:00,118.257,118.262,118.301,117.999,118.295,118.287,118.33,118.034,62489
2020-03-20 04:00:00,118.262,118.34,118.45,118.164,118.287,118.368,118.473,118.191,79316
2020-03-20 05:00:00,118.34,118.3,118.365,118.142,118.368,118.329,118.391,118.17,73862
2020-03-20 06:00:00,118.3,118.157,118.338,118.129,118.329,118.214,118.361,118.156,67488
2020-03-20 07:00:00,118.157,118.418,118.469,118.041,118.214,118.45,118.5,118.068,107863
2020-03-20 08:00:00,118.418,118.544,118.582,118.064,118.45,118.567,118.608,118.09,99826
2020-03-20 09:00:00,118.544,118.196,118.548,118.058,118.567,118.225,118.573,118.086,98530
2020-03-20 10:00:00,118.196,118.059,118.289,117.912,118.225,118.079,118.312,117.939,81714
2020-03-20 11:00:00,118.059,117.922,118.26,117.834,118.079,117.944,118.286,117.855,67442
2020-03-20 12:00:00,117.922,118.181,118.499,117.887,117.944,118.21,118.528,117.913,73225
2020-03-20 13:00:00,118.181,118.62,118.662,118.154,118.21,118.651,118.686,118.181,77026
2020-03-20 14:00:00,118.62,118.874,119.066,118.562,118.651,118.896,119.091,118.586,87211
2020-03-20 15:00:00,118.874,118.896,119.287,118.694,118.896,118.928,119.31,118.722,86059
2020-03-20 16:00:00,118.896,118.815,119.292,118.648,118.928,118.843,119.316,118.675,95054
2020-03-20 17:00:00,118.815,118.34,118.956,118.281,118.843,118.365,118.985,118.313,105646
2020-03-20 18:00:00,118.34,118.433,118.569,118.279,118.365,118.466,118.602,118.313,119894
2020-03-20 19:00:00,118.433,118.461,118.701,118.402,118.466,118.498,118.736,118.441,108541
2020-03-20 20:00:00,118.461,118.53,118.861,118.457,118.498,118.626,118.896,118.496,22257
2020-03-22 20:00:00,118.53,118.527,118.531,118.436,118.626,118.602,118.634,118.524,10
2020-03-22 21:00:00,118.527,118.577,118.577,118.526,118.602,118.678,118.678,118.592,5
2020-03-22 22:00:00,118.577,118.381,118.592,118.226,118.678,118.431,118.674,118.274,40638
2020-03-22 23:00:00,118.381,118.0,118.466,117.995,118.431,118.025,118.493,118.015,64807
2020-03-23 00:00:00,118.0,118.026,118.415,117.882,118.025,118.055,118.475,117.904,72043
2020-03-23 01:00:00,118.026,118.189,118.294,117.936,118.055,118.223,118.326,117.968,58186
2020-03-23 02:00:00,118.189,118.098,118.265,117.968,118.223,118.122,118.296,117.995,36669
2020-03-23 03:00:00,118.098,118.145,118.249,118.015,118.122,118.176,118.275,118.04,62642
2020-03-23 04:00:00,118.145,118.171,118.28,118.057,118.176,118.2,118.299,118.081,51657
2020-03-23 05:00:00,118.171,118.12,118.226,117.952,118.2,118.148,118.258,117.975,56587
2020-03-23 06:00:00,118.12,118.26,118.273,117.933,118.148,118.283,118.305,117.962,44552
2020-03-23 07:00:00,118.26,117.87,118.389,117.711,118.283,117.899,118.416,117.742,84742
2020-03-23 08:00:00,117.87,117.97,118.037,117.721,117.899,117.995,118.058,117.748,86142
2020-03-23 09:00:00,117.97,118.029,118.235,117.964,117.995,118.057,118.26,117.986,39519
2020-03-23 10:00:00,118.029,118.285,118.295,117.995,118.057,118.312,118.319,118.023,37798
